2025-05-31 01:20:13 | ERROR    | aih.utils.database:get_connection:116 - Database error: no such table: artifacts
2025-05-31 01:20:42 | ERROR    | aih.utils.database:get_connection:120 - Database error: no such table: artifacts
2025-05-31 01:21:18 | ERROR    | aih.utils.database:get_connection:120 - Database error: no such table: artifacts
2025-05-31 01:21:43 | ERROR    | aih.utils.database:get_connection:128 - Database error: no such table: artifacts
2025-05-31 01:22:07 | ERROR    | aih.utils.database:get_connection:128 - Database error: no such table: artifacts
2025-06-01 19:13:50 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 4: ## AI in Cyber...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:14:00 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 4: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:14:09 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 4: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:14:19 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 4: Based on the s...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:14:26 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 5: Based on the s...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:14:33 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: Below is a com...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:14:43 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: Below is a com...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:14:52 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 4: Below is a com...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:15:04 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 5: Below is a com...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:15:12 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: Below is a com...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:15:20 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 5: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:15:29 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 3: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:15:40 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 4: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:15:47 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 5: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:15:57 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 4: ## Strategic P...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:16:04 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: The emergence ...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:16:15 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 1: ## AI-Driven C...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:16:23 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 2: ## AI-Driven C...: Expecting value: line 1 column 1 (char 0)
2025-06-01 19:16:32 | ERROR    | __main__:extract_wisdom_for_article:108 - ❌ Failed to parse wisdom response for AI Cybersecurity Impact Analysis 4: ## AI-Driven C...: Expecting value: line 1 column 1 (char 0)
